id,school,sex,classroom,homework,lessons,grade,ethn5
1P25,school2,F,3B,3,2,0.150184104412423,auto
1P27,school2,F,3E,2,2,1.29693363051704,mena
1P28,school2,M,3B,3,3,-0.0246598048146312,auto
1P3,school2,M,3E,3,2,-2.77615079738794,auto
1P31,school2,M,3D,2,2,-1.89697616070772,mena
1P33,school2,F,3B,3,4,0.562164489716691,auto
1P35,school2,M,3G,2,4,-0.860654366746499,auto
1P36,school2,F,3E,2,3,0.664097780925985,auto
1P37,school2,F,3F,1,3,0.158678545346524,mena
1P38,school2,F,3C,1,4,-0.0961546826767086,mena
1P39,school2,M,3B,2,3,0.948661552218613,mena
1P4,school2,M,3E,3,2,-0.275387386386414,europe
1P41,school2,F,3G,4,2,-1.30661251578717,auto
1P42,school2,F,3E,3,1,1.52628353573797,auto
1P45,school2,M,3F,2,1,0.18840908861592,auto
1P46,school2,M,3D,1,4,-0.890384910015849,mena
1P47,school2,F,3B,3,3,0.400770111968606,europe
1P48,school2,F,3E,3,2,0.613131135321338,auto
1P49,school2,M,3C,3,4,1.61830664585748,europe
1P5,school2,F,3D,3,4,-0.60157391825617,auto
1P50,school2,F,3C,3,4,-0.114205369661706,auto
1P52,school2,M,3E,2,2,-1.25989309064957,europe
1P54,school2,F,3F,3,3,1.62821682694731,auto
1P56,school2,F,3E,2,4,-1.61665960988214,europe
1P57,school2,F,3D,2,3,0.396522891501556,europe
1P58,school2,M,3C,3,3,-1.85839724146531,europe
1P6,school2,M,3B,1,4,-1.29387085438602,mena
1P60,school2,F,3C,3,4,0.746210709955711,auto
1P62,school2,F,3F,2,2,1.45478865787589,auto
1P63,school2,F,3G,2,2,-1.07726261056623,auto
1P64,school2,F,3D,4,2,-0.210829635287199,mena
1P65,school2,M,3F,3,4,-1.06876816963213,auto
1P66,school2,M,3F,3,2,-0.261796280891844,auto
1P67,school2,M,3E,3,2,-0.134379666880205,auto
1P68,school2,M,3C,3,4,0.380241879711174,auto
1P69,school2,M,3E,3,3,-0.903126571417045,auto
1P7,school2,F,3F,2,3,0.434747875705052,auto
1P71,school2,M,3D,3,4,0.0949702383407269,auto
1P72,school2,M,3G,3,2,0.396522891501556,europe
1P73,school2,F,3C,3,2,-0.355235131167038,subsah
1P74,school2,F,3B,1,2,1.05484206389496,auto
1P75,school2,M,3G,3,2,-0.0366935961379621,auto
1P76,school2,M,3C,2,4,0.395815021423737,auto
1P77,school2,F,3E,4,1,0.761783851668228,auto
1P78,school2,F,3F,1,4,-0.589186191893953,auto
1P79,school2,M,3F,1,2,-0.4622650869368,auto
1P8,school2,M,3G,2,3,0.0609924746042809,auto
1P81,school2,M,3G,4,1,-0.720496091333709,mena
1P83,school2,F,3D,3,3,-0.733237752734859,mena
1P84,school2,M,3E,3,2,1.39461970125933,auto
1P86,school2,F,3E,3,2,1.65370014974961,auto
1P87,school2,F,3E,1,4,-1.30236529532012,auto
1P88,school2,F,3G,3,1,0.413511773369803,auto
1P89,school2,F,3D,3,2,1.27569752818179,auto
1P9,school2,M,3C,1,3,1.87526348411426,auto
1P90,school2,F,3E,3,2,-0.244807399023645,auto
1P91,school2,M,3D,1,2,1.71740845675541,other
1P92,school2,M,3D,1,4,0.859469922410471,europe
1P93,school2,F,3G,2,4,-1.36182638185886,mena
1P94,school2,F,3G,3,3,-0.0664241394073586,europe
1P95,school2,F,3B,4,1,0.0890241296868381,other
1P96,school2,M,3B,3,3,1.40028266188206,auto
1P97,school2,M,3B,1,3,0.358297907298059,europe
1P98,school2,F,3G,1,3,0.723558867464731,auto
2P1,school2,F,3F,4,4,1.24171976444534,auto
2P2,school2,F,3D,2,4,-1.5104790982058,auto
2P3,school2,M,3G,3,1,-0.423190658639884,auto
2P4,school2,F,3C,4,1,-0.712001650399609,europe
2P5,school2,M,3D,3,2,-0.996565421692238,auto
2P7,school2,F,3C,3,1,-0.767215516471305,other
4P1,school2,M,3G,3,3,-0.414696217705784,auto
4P2,school2,M,3F,3,1,-0.652540563860816,auto
4P3,school2,M,3D,2,2,-0.898879350949995,auto
4P4,school2,M,3G,2,3,-0.44867398144223,auto
4P5,school2,F,3C,3,3,-1.39155692512826,auto
4P7,school2,F,3D,3,2,0.98263931595506,auto
6P11,school2,M,3B,3,3,-1.25989309064957,auto
6P2,school2,M,3F,3,1,-1.62090683034919,subsah
6P3,school2,M,3G,2,2,-0.270290721825944,auto
6P7,school2,F,3F,3,2,-1.30321473941354,mena
6P8,school2,M,3E,3,1,-1.65913181455269,mena
6P9,school2,M,3C,4,2,-1.11548759476973,auto
